Doc. Date,"FORETV
 Doc. #",Business Partner,Agency,"Sales 
Exec.",Product,Order,Total Foreing Currency
2023-02-27 00:00:00,2302001642.0,AGUAS DE ORIGEN SA - ARG,AGUAS DE ORIGEN SA - ARG,RAQUEL MARTINEZ,VILLA DEL SUR LEVITE ORIGEN - ARG,op 651504,62419.5
2023-02-27 00:00:00,2302001643.0,AGUAS DE ORIGEN SA - ARG,AGUAS DE ORIGEN SA - ARG,RAQUEL MARTINEZ,VILLAVICENCIO AGUAS - ARG,op 651520,92247.0
2023-02-27 00:00:00,2302001712.0,AGUAS DE ORIGEN SA - ARG,AGUAS DE ORIGEN SA - ARG,RAQUEL MARTINEZ,VILLA DEL SUR LEVITE ORIGEN - ARG,op 651534,17460.0
2023-02-27 00:00:00,2302001757.0,AGUAS DE ORIGEN SA - ARG,AGUAS DE ORIGEN SA - ARG,RAQUEL MARTINEZ,VILLA DEL SUR LEVITE ORIGEN - ARG,op 653391,70131.0
2023-02-27 00:00:00,2302001617.0,ARCOR - ARG,MMS COMUNICACIONES ARGENTINA SA - ARG,RAQUEL MARTINEZ,JUGOS BC - ARG,op 20187A,47678.4
2023-02-27 00:00:00,2302001795.0,BAYER S.A. - ARG,ANUNCIAR PUBLICIDAD S.A. - ARG,RAQUEL MARTINEZ,ACTRON - ARG,op 202302-0267,70798.56
2023-02-27 00:00:00,2302001842.0,BAYER S.A. - ARG,ANUNCIAR PUBLICIDAD S.A. - ARG,RAQUEL MARTINEZ,EMPECID - ARG,op 202302-0318,56780.8
2023-02-27 00:00:00,2302001868.0,BAYER S.A. - ARG,ANUNCIAR PUBLICIDAD S.A. - ARG,RAQUEL MARTINEZ,PARACETAMOL - ARG,op 202302-0411,6654.0
2023-02-27 00:00:00,2302001624.0,CEPAS - ARG,PHD ARGENTINA S.A. - ARG,RAQUEL MARTINEZ,TERMA - ARG,op 202302-0081,239885.64
2023-02-27 00:00:00,2302001614.0,CERVECERIA Y MALTERIA QUILMES SAICA - ARG,MMS COMUNICACIONES ARGENTINA S.A - ARG,RAQUEL MARTINEZ,CORONA - ARG,op 20140,176670.0
2023-02-27 00:00:00,2302001615.0,CERVECERIA Y MALTERIA QUILMES SAICA - ARG,MMS COMUNICACIONES ARGENTINA S.A - ARG,RAQUEL MARTINEZ,BRAHMA - ARG,op 20160A,140400.0
2023-02-27 00:00:00,2302001672.0,CERVECERIA Y MALTERIA QUILMES SAICA - ARG,MMS COMUNICACIONES ARGENTINA S.A - ARG,RAQUEL MARTINEZ,MICHELOB ULTRA - ARG,op 20396,58500.0
